Number;Text;Flag
500085;Releasing player;Original
500086;You have no current player set, sorry;Original
500087;GM help request entered.;Original
500088;Unknown counselor command;Original
500089;No current help request.;Original
500090;Going to current player;Original
500091;Current help request invalid;Original
500092;Removed previous player from queue;Original
500093;There are no pending queue entries;Original
500094;Going to next player;Original
500095;Transfered request to GM queue;Original
500096;You have no current player set, sorry;Original
500097;Player request relinquished;Original
500098;That queue entry does not exist;Original
500099;Player request relinquished;Original
500100;Invalid location;Original
500101;Player request relinquished;Original
500102;You have no current player set, sorry;Original
500103;Player request cleared from queue;Original
500104;You have no current player set, sorry;Original
500105;Invalid request, player request cleared from queue;Original
500106;You are not currently handling a help request;Original
500107;No such player.;Original
500108;Your mount is too fatigued to move.;Original
500109;You are too fatigued to move, because you are carrying too much weight!;Original
500110;You are too fatigued to move.;Original
500111;You are frozen and cannot move.;Original
500112;You are now under the protection of the town guards.;Original
500113;You have left the protection of the town guards.;Original
500114;You are now under the protection of the town guards.  Cry out for the 'guards' if you find yourself in need!;Original
500115;Beware! You have left the protection of the town guards and have considerably less protection from attack!  You should head back toward town if you are not yet prepared!;Original
500116;Your spirit rejoins your body.;Original
500117;With some effort, you reunite your spirit and your body.;Original
500118;You must wait a few moments to use another skill.;Original
500119;You must wait to perform another action.;Original
500120;Your crime is considered self-defense.;Original
500121;Notoriety wanted to drop, but oneWay prevented it.;Original
500122;Notoriety wanted to raise, but oneWay prevented it.;Original
500123;Group formed and member added;Original
500124;Group formed.;Original
500125;I left my group, and appointed a new leader.;Original
500126;Group disbanded!;Original
500127;I've joined a group.;Original
500128;I've left a group.;Original
500129;Attacking a pet!;Original
500130;Thou has not the gold to pay for your crimes.  For that, you die.;Original
500131;Thou wilt regret thine actions, swine!;Original
500132;I am fatigued!;Original
500133;Your mount is very fatigued.;Original
500134;You stop meditating.;Original
500135;Regenerative forces cannot penetrate your armor.;Original
500136;Reconnecting.;Original
500137;Calling IsMoveable.....;Original
500138;mulitcomp, No Go;Original
500139;editing, OK;Original
500140;No Draw, No Go;Original
500141;Corpse, No GO;Original
500142;To heavy or something, no go;Original
500143;Weight Check says OK;Original
500144;Tile Manager approved, OK;Original
500145;Fell off bottom of IsMoveable, No GO;Original
500146;No Duplicate Id's found.;Original
500147;Compression not yet implemented.;Original
500148;Format: set <target> <variable> <value>;Original
500149;vars: strength, dexterity, intelligence, maxhp, curhp, maxmana, curmana, maxfatigue, curfatigue, hue, notoriety, fame, karma, name, body, skill, location, naturalac, naturalwc, tithingpoints, race, sex;Original
500150;Format: set <target> <variable> <value>;Original
500151;vars: strength, dexterity, intelligence, maxhp, curhp, maxmana, curmana, maxfatigue, curfatigue, hue, notoriety, fame, karma, name, body, skill, location, naturalac, naturalwc, tithingpoints, race, sex;Original
500152;Target not found.;Original
500153;Invalid location;Original
500154;Usage: set target location [w#] x y [z];Original
500155;Format: set <target> skill <value>;Original
500156;Invalid skill;Original
500157;Format: set <target> skillmod <value>;Original
500158;Invalid skill;Original
500159;Format: query <target> <variable>;Original
500160;Vars: strength, dexterity, intelligence, strengthmod, dexteritymod, intelligencemod, hunger, maxhp, curhp, maxmana, curmana, maxfatigue, curfatigue, luck, nightsight, reflectphysicaldamage, potionstrength, attackchance, defensechance, spelldamage, castrecovery, castspeed, manacost, reagentcost, swingspeed, damagemodifier, race, sex, resist <type> [max], notoriety, fame, karma, adjfame, adjkarma, body, skill <num>, skillval, skillmod, updaterange, creationtime;Original
500161;Target not found.;Original
500162;Format: add <target> <variable> <value>;Original
500163;vars: strength, dexterity, intelligence, maxhp, curhp, maxmana, curmana, maxfatigue, curfatigue;Original
500164;Target not found.;Original
500165;Variable not found.;Original
500166;I'm not telling you how much this has in it..;Original
500167;You are now a criminal.;Original
500168;You cannot say anything at this time;Modified
500169;You cannot pick that up.;Original
500170;You cannot pick that up.;Original
500171;You are too tired to lift a finger, much less anything else.;Original
500172;I failed to steal.;Original
500173;Someone tried to steal from you.;Original
500174;You successfully steal the item!;Original
500175;This item needs resources.;Original
500176;That is not your container, you can't store things here.;Original
500177;Access to bank not allowed anymore.;Original
500178;Access to bank not allowed anymore.;Original
500179;That spell is already present in that spellbook.;Original
500180;Your godly powers allow you to over-fill the container.;Original
500181;Your godly powers allow you to over-fill the container.;Original
500182;You cannot request help while customizing a house, transferring a character or during the Wanderer's guided tour.;Original
500183;The next available counselor or game master will respond as soon as possible.;Original
500184;The next available game master will respond as soon as possible.;Original
500185;The next available counselor will respond as soon as possible.;Original
500186;Greetings.  Have a look around.;Original
500187;Your order cannot be fulfilled, please try again.;Original
500188;Your order cannot be fulfilled, please try again.;Original
500189;Your order cannot be fulfilled, please try again.;Original
500190;Thou hast bought nothing!;Original
500191;Begging thy pardon, but thy bank account lacks these funds.;Original
500192;Begging thy pardon, but thou canst not afford that.;Original
500193;I will not buy from you, ever.;Original
500194;You can only sell 5 items at a time!;Original
500195;Unable to complete your request.;Original
500196;You may not sell containers unless they are empty.;Original
500197;Thou hast offered nothing!;Original
500198;Unable to complete your request.;Original
500199;Ahh!  We've been looking for that!;Original
500200;I have no need for that.;Original
500201;I cannot die.;Original
500202;Spell failed;Original
500203;Not enough mana;Original
500204;You cannot say anything at this time;Modified
500205;You can't get on a mount that's fighting.;Original
500206;That is too far away to ride.;Original
500207;The spellbook must be in your backpack (and not in a container within) to open.;Original
500208;It appears to be blank.;Original
500209;You cannot peek into the container.;Original
500210;You failed to peek into the container.;Original
500211;You are too tired to lift a finger.;Original
500212;You failed to peek into the container.;Original
500213;You are not strong enough to equip that.;Original
500214;You already have something in both hands.;Original
500215;You can only wield one weapon at a time.;Original
500216;You must have both hands free to wield this weapon.;Original
500217;Your right hand must be free to wield this weapon.;Original
500218;Your left hand must be free to wield this weapon.;Original
500219;You are already wielding a two handed weapon.;Original
500220;OW!  THAT SMARTS!;Original
500221;Ha ha!  Missed me!;Original
500222;What should I cook this on?;Original
500223;What should I cook this on?;Original
500224;What should I cook this on?;Original
500225;What should I cook this on?;Original
500226;What should I cook this on?;Original
500227;pile of boards;Original
500228;pile of boards;Original
500229;woodpile;Original
500230;woodpile;Original
500231;You feel cured of poison!;Original
500232;That potion was not strong enough to cure your ailment!;Original
500233;You are already poisoned.;Original
500234;This would have poisoned you, if you were not new to the land of Britannia.  Be careful in the future.;Original
500235;You must wait a few seconds before using another healing potion.;Original
500236;You should throw it now!;Original
500237;Target cannot be seen.;Original
500238;Select an ingredient to mix with or a fire to cook on.;Original
500239;default;Original
500240;What should I cook this on?;Original
500241;name incorrect;Original
500242;What should I cook this on?;Original
500243;You cook the pie.;Original
500244;What should I cook this on?;Original
500245;Time to start opening.;Original
500246;Still opening.;Original
500247;Curtain is open now.;Original
500248;Time to start opening.;Original
500249;Still opening.;Original
500250;Curtain is open now.;Original
500251;That location is too far away.;Original
500252;A ship cannot be created here.;Original
500253;max =;Modified
500254;rate =;Modified
500255;level =;Modified
500256;satisfaction =;Modified
500257;What should I cook this on?;Original
500258;What should I cook this on?;Original
500259;Enter the area of operation for the terrain scan, in (x, y) (x, y) format:;Original
500260;Setting of operations area cancelled.;Original
500261;Format for operations area incorrect.;Original
500262;Terrain scan complete.;Original
500263;*Splashing acid blood scars your weapon!*;Original
500264;Honestly, I'm not a key.;Original
500265;Honestly, I'm not a key.;Original
500266;What would you like to add?;Original
500267;No type defined! ERROR.;Original
500268;This object needs to be mounted on something.;Original
500269;You cannot build that there.;Original
500270;You cannot build that there.;Original
500271;You cannot build near the door.;Original
500272;You cannot build near the stairs.;Original
500273;This add-on deed is blank.;Original
500274;You can only place this in a house that you own!;Original
500275;You can only build this in a house.;Original
500276;You can only place this in a house that you own!;Original
500277;Construction aborted. Please try again.;Original
500278;As a young player, you may not cast beneficial spells onto older players.;Original
500279;You pour the potion into a bottle...;Original
500280;...and place it into your backpack.;Original
500281;...but there is no room in your backpack.;Original
500282;You create the potion and pour it into the keg.;Original
500283;That container is too full to hold your potion.;Original
500284;You are wise enough not to add a different type of potion to that keg.;Original
500285;You are unsure what is in the keg, and decide not to add your mixture to it.;Original
500286;You were unable to complete your work before you died.;Original
500287;You fail to create a useful potion.;Original
500288;Dead people can't make potions.;Original
500289;Where is a bottle or keg for your potion?;Original
500290;You stop mixing and empty the mortar.;Original
500291;Someone else is using that.;Original
500292;What reagent would you like to make the potion out of?;Original
500293;You were unable to complete your work before you died.;Original
500294;You cannot use that.;Original
500295;You are too far away to do that.;Original
500296;That's not something you can grind with a mortar and pestle!;Original
500297;That is not a potion ingredient.;Original
500298;You are not skilled enough to make anything out of that.;Original
500299;That is not an appropriate container for a potion.;Original
500300;They don't match.;Original
500301;It's not there.;Original
500302;Unable to find script list on keg.;Original
500303;One potion is missing the 'power' objVar.;Original
500304;They don't match.;Original
500305;One potion is missing the 'modifier' objVar.;Original
500306;They don't match.;Original
500307;The mixture explodes!;Original
500308;You smell a strange odor!;Original
500309;Nothing Happens.;Original
500310;You are too busy with something else.;Original
500311;Select a heating stand to heat this or a reagent to add to the mix.;Original
500312;You cannot reach that.;Original
500313;The flask is empty.;Original
500314;That stand belongs to someone else.;Original
500315;You need an empty bottle to make a potion.;Original
500316;You create a mysterious potion;Original
500317;Nothing Happens;Original
500318;This flask is empty.;Original
500319;You have been granted amnesty for your crimes.  --Lord British.;Original
500320;Let no good deed go unpunished!  --Lord Blackthorn;Original
500321;Whom shall I examine?;Original
500322;This person looks fine to me, though he may have some news...;Original
500323;Only living things have anatomies!;Original
500324;You know yourself quite well enough already.;Original
500325;I am too far away to do that.;Original
500326;That cannot be inspected.;Original
500327;Weariness prevents you from discerning anything useful.;Original
500328;What animal should I look at?;Original
500329;That's not an animal!;Original
500330;That's not an animal!;Original
500331;The spirits of the dead are not the province of druidism.;Modified
500332;I am too far away to do that.;Original
500333;You are to weary to discern anything useful.;Original
500334;You can't think of anything you know offhand.;Original
500335;Choose a location to create your anvil.;Original
500336;You will not be able to put it in your backpack afterwards.;Original
500337;Targetobj called;Original
500338;Can't create an anvil there.;Original
500339;Can't create an anvil there.;Original
500340;Targetloc called;Original
500341;Can't create an anvil there.;Original
500342;Can't create an anvil there.;Original
500343;What do you wish to appraise and identify?;Original
500344;You can't see that object well enough to identify it.;Original
500345;You can't concentrate enough to come up with a good estimate.;Original
500346;Target cannot be seen.;Original
500347;Target cannot be seen.;Original
500348;I am too far away to do that.;Original
500349;What item do you wish to get information about?;Original
500350;You are too far away to tell much about it.;Original
500351;You can't see it well enough to tell much about it.;Original
500352;This is neither weapon nor armor.;Original
500353;You are not certain...;Original
500354;Which door do you want to add to my keylist?;Original
500355;okay;Original
500356;Added door to my keylist.;Original
500357;If this lever ever did anything, it doesn't do it anymore.;Original
500358;The lever feels loose, and you realize it no longer controls anything.;Original
500359;You flip the lever and think you hear something, but realize it was just your imagination.;Original
500360;The lever flips without effort, doing nothing.;Original
500361;You flip the lever, and now its even more broken than before!;Original
500362;What message do you wish to send to the player?;Original
500363;Text entry timed out;Original
500364;You can't use that, it belongs to someone else.;Original
500365;That is being used by someone else;Original
500366;Select a loom to use that on.;Original
500367;Try using that on a loom.;Original
500368;You create some cloth and put it in your backpack.;Original
500369;I'm a ballot box, not a container!;Original
500370;Enter a line of text for your ballot, and hit ENTER. Hit ESC after the last line is entered.;Original
500371;Votes zeroed out.;Original
500372;You have already voted on this ballot.;Original
500373;Your vote has been registered.;Original
500374;You have already voted on this ballot.;Original
500375;Your vote has been registered.;Original
500376;Ballot entry complete.;Original
500377;Next line or ESC to finish:;Original
500378;Thou art a criminal and cannot access thy bank box.;Original
500379;Thou must tell me how much thou wishest to withdraw.;Original
500380;Ah, art thou trying to fool me? Thou hast not so much gold!;Original
500381;Thou canst not withdraw so much at one time!;Original
500382;Thou dost not have sufficient funds in thy account to withdraw that much.;Original
500383;Thou must request a minimum of 5000 gold to draw up a check.;Original
500384;Ah, art thou trying to fool me? Thou hast not so much gold!;Original
500385;Thou dost not have sufficient funds in thy account to withdraw that much.;Original
500386;There's not enough room in your bankbox for the check!;Original
500387;This is not gold!;Original
500388;I only accept gold coins.;Original
500389;I will not do business with a criminal!;Original
500390;Your bank box is full.;Original
500391;A bank account can only hold 65,000 gold at the moment.;Original
500392;Spare some gold friend?;Original
500393;Just a few coins.;Original
500394;Surely thou can spare something.;Original
500395;I haven't eaten in days.;Original
500396;I have children to feed.;Original
500397;To whom do you wish to grovel?;Original
500398;Perhaps just asking would work better.;Original
500399;There is little chance of getting money from that!;Original
500400;There is little chance of getting money from that!;Original
500401;You are too far away to beg from him.;Original
500402;You are too far away to beg from her.;Original
500403;That's too far away.  You couldn't beg from it anyway.;Original
500404;They seem unwilling to give you any money.;Original
500405;I feel sorry for thee...;Original
500406;Thou dost not look trustworthy... no gold for thee today!;Original
500407;I have not enough money to give thee any!;Original
500408;victim;Original
500409;beggar;Original
500410;Thou dost not look trustworthy... no gold for thee today!;Original
500411;I have not enough money to give thee any!;Original
500412;I have not enough money to give thee any!;Original
500413;I have not enough money to give thee any!;Original
500414;reached end of begging pathfind;Original
500415;Let me see...;Original
500416;I dare not approach thee too closely, lest others think me an easy mark...;Original
500417;A sense of great foreboding overtakes you.;Original
500418;This item is of imported material, probably bought at a store, and does not yield much metal.;Original
500419;Some metal seems to have lost its color due to the heat.;Original
500420;You are not near a forge.;Original
500421;You cannot use that.;Original
500422;You can't work on that item.;Original
500423;That is already in full repair.;Original
500424;You destroyed the item.;Original
500425;You repair the item.;Original
500426;You can't repair that.;Original
500427;You cannot smith that item!;Original
500428;This strange metal is beyond your capability--you have no idea how to work it!;Original
500429;You cannot melt something that is being worn or held.;Original
500430;You feel compelled to not destroy this shield.;Original
500431;You may only melt items which are in your backpack.;Original
500432;You may only melt items which are in your backpack.;Original
500433;This item cannot be melted.;Original
500434;That is being used by someone else.;Original
500435;Select your choice from the menu above.;Original
500436;Select item to repair.;Original
500437;Select the item you wish to melt.;Original
500438;Target the metal you would like to use.;Original
500439;There is not enough metal there to make that item.;Original
500440;You cannot place the item into your backpack! Construction stopped.;Original
500441;You lost some metal.;Original
500442;You create the item and put it in your backpack.;Original
500443;In the process of hammering out the blade, you lose the distinctive color of the source metal.;Original
500444;Due to your exceptional skill, it's quality is higher than average.;Original
500445;You were barely able to make this item.  Its quality is below average.;Original
500446;That is too far away.;Original
500447;That is not accessible.;Original
500448;That is not accessible.;Original
500449;This sheep is not yet ready to be shorn.;Original
500450;You can only skin dead creatures.;Original
500451;You would not be able to place the gathered wool in your backpack!;Original
500452;You place the gathered wool into your backpack.;Original
500453;The sheep nimbly escapes your attempts to shear his wool.;Original
500454;That wood belongs to someone else.;Original
500455;There isn't enough wood here;Original
500456;You can't prepare that fish, it belongs to someone else.;Original
500457;You can't place any fish into your backpack!;Original
500458;You cut the fish into steaks and put them in your backpack.;Original
500459;Since you are a (co)owner of the house, you can destroy the movable furniture within.;Original
500460;You can only chop your own strongbox;Original
500461;You destroy the item.;Original
500462;You can't destroy that while it is here.;Original
500463;You will need an axe of some sort to destroy this.;Original
500464;Use this on corpses to carve away meat and hide.;Original
500465;You don't have anywhere to carry the meat. You leave the meat on the corpse.;Original
500466;You carve away some meat.;Original
500467;You carve some meat, which remains on the corpse.;Original
500468;There's no usable meat on the corpse.;Original
500469;You don't have anywhere to carry the hides.  You leave them on the corpse.;Original
500470;You skin the corpse and get the hide.;Original
500471;You skin it, and the hides are now in the corpse.;Original
500472;The hide does not seem useful.;Original
500473;You don't have anywhere to carry the furs.  You leave them on the corpse.;Original
500474;You skin the corpse and get the fur.;Original
500475;You skin the corpse and get the fur. It is now in the corpse.;Original
500476;The fur does not seem useful.;Original
500477;You don't have anywhere to carry the feathers.  You leave them on the corpse.;Original
500478;You pluck the bird and get the feathers.;Original
500479;You pluck the bird. The feathers are now on the corpse.;Original
500480;You don't see any usable feathers.;Original
500481;You don't have anywhere to carry the wool.  You leave the wool on the corpse.;Original
500482;You shear the corpse and get the wool.;Original
500483;You shear it, and the wool is now on the corpse.;Original
500484;Shearing the corpse seems to be a waste of time.;Original
500485;You see nothing useful to carve from the corpse.;Original
500486;That is too far away.;Original
500487;The axe must be equipped for any serious wood chopping.;Original
500488;There's not enough wood here to harvest.;Original
500489;You can't use an axe on that.;Original
500490;You can't place any kindling into your backpack!;Original
500491;You put some kindling into your backpack.;Original
500492;An axe would probably get you more wood.;Original
500493;There's not enough wood here to harvest.;Original
500494;You can't use a bladed item on that.;Original
500495;You hack at the tree for a while, but fail to produce any useable wood.;Original
500496;You hack at the tree for a while, but fail to produce any useable wood.;Original
500497;You can't place any wood into your backpack!;Original
500498;You put some logs into your backpack.;Original
500499;You broke your axe.;Original
500500;You do not have enough room for the item in your backpack! You stop making the item.;Original
500501;Due to your exceptional skill, its quality is higher than average.;Original
500502;You were barely able to make this item. Its quality is below average.;Original
500503;Continue chopping for a while and then return to the person who gave you this task.;Original
500504;Target cannot be seen.;Original
500505;As a young player, you may not cast beneficial spells onto older players.;Original
500506;Which item do you wish to bless?;Original
500507;You can only bless an item!;Original
500508;You may only bless objects that you are carrying.;Original
500509;You can't bless this object!;Original
500510;You can't bless this object.;Original
500511;That object is already blessed.;Original
500512;You may not take items from the corpses of the more established players.;Original
500513;Some young warrior felled this, and you cannot bring yourself to take any items from the corpse.;Original
500514;You cannot loot that corpse, as you are not the one that felled it and are not yet confident its slayer has taken everything off it they desire.;Original
500515;human remains;Original
500516;Adding victim to the bounty list.;Original
500517;Opening reporting menu.;Original
500518;You have cancelled the bounty reporting process.;Original
500519;An error has occurred and your murder cannot be reported.;Original
500520;You have cancelled the bounty reporting process.;Original
500521;You have cancelled the bounty reporting process.;Original
500522;Killer's killcount lower than victim's;Original
500523;You cannot report this death because the person who killed you has slain less people than you have.;Original
500524;Victim's notoriety too low to report.;Original
500525;You cannot report this death to the guards because your notoriety is too low.;Modified
500526;Victim flagged criminal;Original
500527;You cannot report this death to the guards because you are flagged as a criminal because of your recent deeds.;Modified
500528;Victim doesn't have lastCriminal attached;Original
500529;Victim's last criminal doesn't match killer;Original
500530;Allowed to report!;Original
500531;Returning killcount.;Original
500532;NULL reward!;Original
500533;Gold resource from bank:;Original
500534;Gold resource on gold after transfer:;Original
500535;Gold resource from board:;Original
500536;reward!;Original
500537;A bounty hath been issued for thee, and thy worldly goods are hereby confiscated!;Original
500538;Error attaching bounty script.;Original
500539;'Tis a decapitated head. How disgusting.;Original
500540;'Tis a decapitated head. How disgusting.;Original
500541;There is indeed a price on this head, but not here. Travel on, my friend, to a precinct of the guards that will pay thee.;Original
500542;We only accept bounty hunting from honorable folk! Away with thee!;Original
500543;I had heard that this scum was taken care of. But thou didst not do the deed, and thus shall not get the reward!;Original
500544;No kills are tallied on this person.;Original
500545;There is a bounty outstanding as well.;Original
500546;I am now bounty hunted!;Original
500547;Reducing bounty count.;Original
500548;Penalizing stats.;Original
500549;Killer must be above neutral to collect bounty.;Original
500550;You have a higher killcount than the victim and cannot claim the bounty.;Original
500551;As you kill them, you realize there is a bounty on their head! You take the head as evidence of your victory.;Original
500552;Select player to bounty:;Original
500553;Checking burners.;Original
500554;Not fired up.;Original
500555;Already fired up.;Original
500556;Fueled up.;Original
500557;No fuel.;Original
500558;Target at close range.;Original
500559;Target at long range.;Original
500560;Preparing to breathe.;Original
500561;Darn! Missed you!;Original
500562;Eat fiery death!;Original
500563;Causing damage.;Original
500564;Finished causing damage.;Original
500565;Gotcha!;Original
500566;Causing damage.;Original
500567;Finished causing damage.;Original
500568;teleport unsuccessful;Original
500569;Terrain scan complete.;Original
500570;Enter the amount by which to move terrain up.;Original
500571;Enter the amount by which to move terrain lower.;Original
500572;Enter the low end of the elevation filter:;Original
500573;Enter the high end of the elevation filter:;Original
500574;Setting of terrain type cancelled.;Original
500575;Enter the area of operation for the terrain scan, in (x, y) (x, y) format:;Original
500576;Setting of operations area cancelled.;Original
500577;Format for operations area incorrect.;Original
500578;Setting of transition type cancelled.;Original
500579;Setting of embankment type cancelled.;Original
500580;Terrain fill cancelled.;Original
500581;Enter the target elevation, then a +/- fudge factor for randomization, in the format (a, b):;Original
500582;Elevation changes cancelled.;Original
500583;Format for elevations change incorrect.;Original
500584;Terrain fill cancelled.;Original
500585;Terrain fill cancelled.;Original
500586;You do not have enough skill or resources to build anything!;Original
500587;Double click on the archery butte to practice your marksmanship skill.;Modified
500588;Fire on the target and then return to the person who gave you this task.;Original
500589;Follow the arrow to complete your task.;Original
500590;You're a ghost, and can't do that.;Original
500591;Wait until it's clear!;Original
500592;You gather the arrows and bolts.;Original
500593;You must practice with ranged weapons on this.;Original
500594;You do not have any arrows with which to practice.;Original
500595;You do not have any crossbow bolts with which to practice.;Original
500596;You would do better to stand in front of the target.;Original
500597;You aren't properly lined up with the target to get an accurate shot.;Original
500598;You are too far away from the target to get an accurate shot.;Original
500599;You are too close to the target.;Original
500600;You would do better to stand in front of the target.;Original
500601;You aren't properly lined up with the target to get an accurate shot.;Original
500602;You are too far away from the target to get an accurate shot.;Original
500603;You are too close to the target.;Original
500604;~1_name~ misses the target altogether.;Original
500605;If you have a deed, I can appraise it or buy it from you...;Original
500606;Simply hand me a deed to sell it.;Original
500607;I'm not interested in that.;Original
500608;Which deed would you like appraised?;Original
500609;I can't appraise things I know nothing about...;Original
500610;Simply hand me the deed if you wish to sell it.;Original
500611;The instrument becomes forever quiet.;Original
500612;You play poorly, and there is no effect.;Original
500613;You attempt to calm everyone, but fail.;Original
500614;You hear music, and for a moment are distracted.;Original
500615;You play your hypnotic music, stopping the battle.;Original
500616;You hear lovely music, and forget to continue battling!;Original
500617;What instrument shall you play?;Original
500618;That is too far away!;Original
500619;That is not a musical instrument.;Original
500620;You feel it would take a few moments to secure your camp.;Original
500621;The camp is now secure.;Original
500622;This item must be stolen to get it.;Original
500623;This item must be stolen to use it.;Original
500624;You do not have enough staves to construct the keg.;Original
500625;You do not have enough hoops to construct the keg.;Original
500626;You do not have a bottom for the keg.;Original
500627;You fail to create the keg.;Original
500628;Some of your staves are no longer fit for use.;Original
500629;You fail the project horribly, losing most of your materials in the process.;Original
500630;You create the keg and put it in your backpack.;Original
500631;You create the keg and put it at your feet.;Original
500632;You are too busy with something else.;Original
500633;What would you like to make?;Original
500634;The amount of wood changed since you started working with it.;Original
500635;Due to your exceptional skill, it's quality is higher than average.;Original
500636;Your tinker skill was sufficient to make the item lockable.;Original
500637;Your tinker skill was insufficient to make the item lockable.;Original
500638;You create the item and put it in your backpack.;Original
500639;You create the item and put it in your backpack.;Original
500640;You create the item and put it at your feet.;Original
500641;Your concentration is disturbed, thus ruining thy spell.;Original
500642;Target cannot be seen.;Original
500643;Target is too far away.;Original
500644;To get your shield, ask any of Lord Blackthorn's Guards.;Original
500645;You can no longer wear some of your equipment.;Original
500646;It will be placed in your pack in a few mins.;Original
500647;Some equipment has been moved to your backpack.;Original
500648;This chest seems to be locked.;Original
500649;CLICK;Original
500650;RECLICK;Original
500651;You're evil, and must die!;Original
500652;You're a murderer, and must die!;Original
500653;Thou hast escaped me!;Original
500654;Er... thanks.;Original
500655;I really hope that wasn't intended as a bribe.;Original
500656;I'll just be keeping this.;Original
500657;How disgusting!  I'll dispose of this.;Original
500658;Er... thanks.;Original
500659;Er... thanks.;Original
500660;If this were the head of a murderer, I would check for a bounty.;Original
500661;I shall place this on my mantle!;Original
500662;This tasteth like chicken.;Original
500663;This tasteth just like the juicy peach I just ate.;Original
500664;Ahh!  That was the one piece I was missing!;Original
500665;Somehow, it reminds me of mother.;Original
500666;It's a sign!  I can see Elvis in this!;Original
500667;Thanks, I was missing mine.;Original
500668;I'll put this in the lost-and-found box.;Original
500669;My family will eat well tonight!;Original
500670;Ah, a head!  Let me check to see if there is a bounty on this.;Original
500671;Claim house;Original
500672;You turn the crystal off.;Original
500673;You turn the crystal on.;Original
500674;This crystal is already linked with that crystal.;Original
500675;That crystal has been linked to this crystal.;Original
500676;This crystal is out of charges.;Original
500677;This crystal cannot be recharged.;Original
500678;This crystal is already fully charged.;Original
500679;You completely recharge the crystal.;Original
500680;You recharge the crystal.;Original
500681;You cannot use this crystal on that.;Original
500682;I am sorry, but thou art far to skilled for me to train.;Original
500683;I am sorry, but thou lacks the gold for training.;Original
500684;You do not have room for the cooked food in your backpack!  You stop cooking.;Original
500685;You can't use that, it belongs to someone else.;Original
500686;You burn the food to a crisp! It's ruined.;Original
500687;Looks delicious.;Original
500688;Mmmm, smells good.;Original
500689;You put the cooked food into your backpack.;Original
500690;You can't cook on that.;Original
500691;You may not take items from the corpses of the more established players.;Original
500692;Some young warrior felled this, and you cannot bring yourself to take any items from the corpse.;Original
500693;You cannot loot that corpse, as you are not the one that felled it and are not yet confident its slayer has taken everything off it they desire.;Original
500694;Checking for items;Original
500695;Creating bag;Original
500696;Checking for items;Original
500697;Creating bag;Original
500698;Must have a target value!;Original
500699;Script is Done!!;Original
500700;disarmed;Original
500701;reloaded;Original
500702;got message;Original
500703;switch one up;Original
500704;switch one down;Original
500705;switch two up;Original
500706;switch two down;Original
500707;switch three up;Original
500708;switch three down;Original
500709;switch four up;Original
500710;switch four down;Original
500711;switch five up;Original
500712;switch five down;Original
500713;disarmed;Original
500714;disarmed;Original
500715;You notice something odd about the frame of the painting.;Original
500716;A small plaque on the bottom of the frame reads: 3-4-1-5.;Original
500717;A small piece of paper seems to be wedged beneath the throne.;Original
